Jahr;Import/Export;Maßeinheit;WZ;Kennzahl;Polymerart/Packmittel;Warenverzeichnis;Warennummer;Monat;relative Veränderung zum Vorjahr/Vorjahresmonat/Vorjahresquartal;Jahr-Monat
2025,0;Einfuhr;Tsd. EUR;2222;4173928,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;8,371519764123004;2025-TOTAL
2015,0;Einfuhr;Tsd. US $;2222;2590301,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;;2015-TOTAL
2016,0;Einfuhr;Tsd. US $;2222;2624239,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;1,3101952244159998;2016-TOTAL
2017,0;Einfuhr;Tsd. US $;2222;3434114,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;30,861327798268377;2017-TOTAL
2018,0;Einfuhr;Tsd. US $;2222;3888464,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;13,230486815522147;2018-TOTAL
2019,0;Einfuhr;Tsd. US $;2222;3704158,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;-4,73981500150188;2019-TOTAL
2020,0;Einfuhr;Tsd. US $;2222;3747712,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;1,1758137746823882;2020-TOTAL
2021,0;Einfuhr;Tsd. US $;2222;4398574,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;17,36691613443082;2021-TOTAL
2022,0;Einfuhr;Tsd. US $;2222;4458111,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;1,3535523103624048;2022-TOTAL
2023,0;Einfuhr;Tsd. US $;2222;4126470,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;-7,439047614561412;2023-TOTAL
2024,0;Einfuhr;Tsd. US $;2222;4169570,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;1,044476271486272;2024-TOTAL
2025,0;Einfuhr;Tsd. US $;2222;4711529,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;12,99795902215337;2025-TOTAL
2015,0;Einfuhr;t;2222;826101,1;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;;2015-TOTAL
2016,0;Einfuhr;t;2222;889319,6;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;7,65263476831104;2016-TOTAL
2017,0;Einfuhr;t;2222;1104577,1;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;24,20474034306679;2017-TOTAL
2018,0;Einfuhr;t;2222;1246921,4;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;12,886769063019665;2018-TOTAL
